"Level","PartnerType","DisplayNameEn","DisplayNameVi","OfficialWebsite","ExportedFile","SourceFile"
"Lv 2","Agency / Department","Department of Construction","Sở Xây dựng","https://soxaydungtructuyen.hochiminhcity.gov.vn/","lv2-agency-department/lv2-13-department-of-construction.png","public/figma-homepage/agency-logos/emblems/so-xay-dung.png"
"Lv 2","Agency / Department","Department of Home Affairs","Sở Nội vụ","https://sonoivu.hochiminhcity.gov.vn/","lv2-agency-department/lv2-14-department-of-home-affairs.png","public/figma-homepage/agency-logos/emblems/so-noi-vu.png"
"Lv 2","Agency / Department","Department of Food Safety","Sở An toàn thực phẩm","http://sattp.hochiminhcity.gov.vn/","",""
"Lv 2","Agency / Department","Saigon Hi-Tech Park Management Board","Ban Quản lý Khu Công nghệ cao Thành phố Hồ Chí Minh","https://shtp.hochiminhcity.gov.vn/","lv2-agency-department/lv2-20-saigon-hi-tech-park-management-board.svg","public/figma-homepage/agency-logos/emblems/shtp.svg"
"Lv 2","Promotion / Supporting Organization","VIETRADE","Cục Xúc tiến thương mại","https://vietrade.gov.vn/","lv2-agency-department/lv2-16-vietrade.jpg","public/figma-homepage/agency-logos/emblems/vietrade-new.jpg"
"Lv 2","Promotion / Supporting Organization","HCMC ITPC","Trung tâm Xúc tiến Thương mại và Đầu tư TP.HCM","https://itpc.hochiminhcity.gov.vn/","lv2-agency-department/lv2-17-hcmc-itpc.jpg","public/figma-homepage/agency-logos/emblems/hcmc-itpc-new.jpg"
"Lv 2","Promotion / Supporting Organization","HEPZA","Ban Quản lý các Khu chế xuất và công nghiệp TP.HCM","https://hepza.hochiminhcity.gov.vn/","lv2-agency-department/lv2-18-hepza.png","public/figma-homepage/agency-logos/emblems/hepza.png"
"Lv 2","Promotion / Supporting Organization","ISC Vietnam","ISC Vietnam","https://saithanh-isc.com/","lv2-agency-department/lv2-19-isc-vietnam.png","public/figma-homepage/agency-logos/emblems/isc-vietnam.png"
"Lv 3","Strategic Partner","S&P Global Market Intelligence","S&P Global Market Intelligence","https://www.spglobal.com/market-intelligence/","lv3-strategic-partner/lv3-01-sp-global-market-intelligence.webp","public/figma-homepage/strategic-partners/logo_SP-2.webp"
"Lv 3","Strategic Partner","CRIF D&B Vietnam","CRIF D&B Việt Nam","https://dnbvietnam.com/","lv3-strategic-partner/lv3-02-crif-dnb-vietnam.png","public/figma-homepage/strategic-partners/crif-dnb-vietnam.png"
"Lv 3","Strategic Partner","Grant Thornton","Grant Thornton","https://www.grantthornton.com.vn/","lv3-strategic-partner/lv3-03-grant-thornton.png","public/figma-homepage/strategic-partners/grant-thornton.png"
"Lv 3","Strategic Partner","Viettel","Viettel","https://viettel.com.vn/","lv3-strategic-partner/lv3-04-viettel.svg","public/figma-homepage/strategic-partners/viettel.svg"
"Lv 3","Strategic Partner","Bao Viet","Bảo Việt","https://baoviet.com.vn/","lv3-strategic-partner/lv3-05-bao-viet.svg","public/figma-homepage/strategic-partners/bao-viet.svg"
"Lv 3","Strategic Partner","Vietcombank","Vietcombank","https://www.vietcombank.com.vn/","lv3-strategic-partner/lv3-06-vietcombank.svg","public/figma-homepage/strategic-partners/vietcombank.svg"
"Lv 3","Strategic Partner","SAIA","SAIA","https://saia.org.sg/","lv3-strategic-partner/lv3-07-saia.png","public/figma-homepage/strategic-partners/saia.png"
